postcode,state_given,lat,lon
82100,Johor,1.5732517,103.347981
86100,Johor,1.9547499,103.1971067
81920,Johor,1.6744219,104.0189822
81930,Johor,1.608198,104.142244
81440,Johor,1.8456684,103.6403576
85100,Johor,2.577145,102.7074128
83000,Johor,1.8525046,102.8629885
86500,Johor,2.2965282,103.1305923
82200,Johor,1.643432,103.258708
84800,Johor,2.295049,102.6833468
84300,Johor,2.1013592,102.6376601
85400,Johor,2.249619,103.0400849
86900,Johor,2.652587,103.6634963
81550,Johor,1.377079,103.5923051
84700,Johor,2.2068641,102.7014322
81450,Johor,1.771614,103.702711
79000,Johor,1.4290887,103.6520473
79050,Johor,1.4409937,103.6388886
79100,Johor,1.461002,103.651321
79150,Johor,1.482923,103.66576
79200,Johor,1.430217,103.61569
79250,Johor,1.4137341,103.6270218
79502,Johor,1.421902,103.653525
79503,Johor,1.4190683,103.652859
79504,Johor,1.4200356,103.6304834
79505,Johor,1.462796,103.762534
79511,Johor,1.46343,103.7547149
79513,Johor,1.4200356,103.6304834
79514,Johor,1.4200356,103.6304834
79517,Johor,1.4200356,103.6304834
79518,Johor,1.4200356,103.6304834
79520,Johor,1.418995,103.6527904
79521,Johor,1.419494,103.652572
79523,Johor,1.422374,103.653672
79532,Johor,1.4200356,103.6304834
79538,Johor,1.4200356,103.6304834
79540,Johor,1.4587753,103.7635614
79546,Johor,1.4200356,103.6304834
79548,Johor,1.461476,103.762766
79550,Johor,1.461324,103.76519
79552,Johor,1.4200356,103.6304834
79555,Johor,1.4200356,103.6304834
79570,Johor,1.4200356,103.6304834
79575,Johor,4.636008,102.406918
79576,Johor,1.4199854,103.6497111
79592,Johor,1.4200356,103.6304834
79601,Johor,1.46343,103.7547149
79603,Johor,1.41922,103.650961
79605,Johor,1.4234149,103.6498385
79606,Johor,1.4200356,103.6304834
79612,Johor,1.4200356,103.6304834
79626,Johor,1.4192369,103.6512473
79630,Johor,1.419263,103.650821
79632,Johor,1.419263,103.650821
79646,Johor,1.4220646,103.6519496
79658,Johor,1.4200356,103.6304834
79660,Johor,1.4200356,103.6304834
79680,Johor,1.4200356,103.6304834
79681,Johor,1.4200356,103.6304834
79683,Johor,1.4190683,103.652859
85200,Johor,2.440059,102.6851551
80000,Johor,1.4614892,103.760937
80050,Johor,1.4861442,103.7688863
80100,Johor,1.4648464,103.7378317
80150,Johor,1.494748,103.766781
80200,Johor,1.4651716,103.7273141
80250,Johor,1.475818,103.7627179
80300,Johor,1.5191277,103.6867477
80350,Johor,1.5056571,103.7387021
80400,Johor,1.4826954,103.7685736
80500,Johor,1.4888401,103.7839552
80506,Johor,1.4561522,103.7597825
80508,Johor,1.4785618,103.7603646
80516,Johor,1.4622789,103.7431268
80519,Johor,1.458066,103.750087
80534,Johor,1.4604191,103.7593997
80536,Johor,1.492659,103.7413591
80542,Johor,1.4622789,103.7431268
80546,Johor,1.4724779,103.7491107
80558,Johor,1.4628706,103.7563461
80560,Johor,1.4769973,103.7641472
80564,Johor,1.4622789,103.7431268
80568,Johor,1.4622789,103.7431268
80578,Johor,1.4622789,103.7431268
80584,Johor,1.4622789,103.7431268
80586,Johor,1.4586081,103.7458981
80590,Johor,1.4601505,103.758601
80592,Johor,1.462602,103.7404229
80594,Johor,1.4580377,103.7594301
80596,Johor,1.492659,103.7413591
80600,Johor,1.4622789,103.7431268
80604,Johor,1.491841,103.728258
80608,Johor,2.049013,102.586406
80620,Johor,1.459085,103.7626959
80622,Johor,1.4622789,103.7431268
80628,Johor,1.4912364,103.7035274
80644,Johor,1.4558838,103.7615357
80648,Johor,1.4622789,103.7431268
80662,Johor,1.4802465,103.7426289
80664,Johor,1.4216126,103.6435497
80668,Johor,1.4622789,103.7431268
80670,Johor,1.4622789,103.7431268
80672,Johor,1.4595055,103.760156
80673,Johor,1.531049,103.795121
80676,Johor,1.4571645,103.7494373
80700,Johor,1.492659,103.7413591
80710,Johor,1.492659,103.7413591
80720,Johor,1.492659,103.7413591
80730,Johor,1.492659,103.7413591
80900,Johor,1.492659,103.7413591
80902,Johor,1.492659,103.7413591
80904,Johor,1.492659,103.7413591
80906,Johor,1.492659,103.7413591
80908,Johor,1.492659,103.7413591
80988,Johor,1.46343,103.7547149
