postcode,state,state_gj,lat,lon
47301,Selangor,WP Kuala Lumpur,3.086439,101.649091
46200,Selangor,WP Kuala Lumpur,3.086439,101.649091
43200,Selangor,WP Kuala Lumpur,3.048914445,101.7688979
47810,Selangor,WP Kuala Lumpur,3.086439,101.649091
53100,WP Kuala Lumpur,Selangor,3.26023787,101.7333987
47830,Selangor,WP Kuala Lumpur,3.086439,101.649091
47410,Selangor,WP Kuala Lumpur,3.086439,101.649091
47400,Selangor,WP Kuala Lumpur,3.086439,101.649091
46050,Selangor,WP Kuala Lumpur,3.086439,101.649091
46100,Selangor,WP Kuala Lumpur,3.086439,101.649091
47800,Selangor,WP Kuala Lumpur,3.086439,101.649091
46000,Selangor,WP Kuala Lumpur,3.086439,101.649091
46400,Selangor,WP Kuala Lumpur,3.086439,101.649091
47300,Selangor,WP Kuala Lumpur,3.086439,101.649091
6650,Kedah,Perlis,6.041226766,100.3970193
46300,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
43207,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46350,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
47820,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46506,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46547,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46549,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46551,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46564,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46582,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46598,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46662,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46667,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46668,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46672,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46675,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46700,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46710,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46720,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46730,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46740,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46750,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46760,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46770,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46780,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46781,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46782,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46783,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46784,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46785,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46786,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
47307,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46801,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46802,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46803,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46804,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46805,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46806,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46860,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46870,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46960,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46962,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46964,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46966,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46968,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46970,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46972,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46974,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46976,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46978,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46787,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46788,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46789,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46790,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46791,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46792,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46793,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46794,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46795,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46796,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46797,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46798,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46799,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
46800,Selangor,WP Kuala Lumpur,3.110464412,101.6263315
