,,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Johor,Kedah,Kedah,Kedah,Kedah,Kedah,Kedah,Kedah,Kedah,Kedah,Kedah,Kedah,Kedah,Kedah,Kedah,Kedah,Kedah,Kedah,Kedah,Kedah,Kedah,Kedah,Kedah,Kedah,Kedah,Kedah,Kedah,Kedah,Kedah,Kedah,Kedah,Kedah,Kedah,Kedah,Kelantan,Kelantan,Kelantan,Kelantan,Kelantan,Kelantan,Kelantan,Kelantan,Kelantan,Kelantan,Kelantan,Kelantan,Kelantan,Kelantan,Kelantan,Kelantan,Kelantan,Kelantan,Kelantan,Kelantan,Kelantan,Melaka,Melaka,Melaka,Melaka,Melaka,Melaka,Melaka,Melaka,Melaka,Melaka,Melaka,Melaka,Melaka,Melaka,Melaka,Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,Negeri Sembilan,Pahang,Pahang,Pahang,Pahang,Pahang,Pahang,Pahang,Pahang,Pahang,Pahang,Pahang,Pahang,Pahang,Pahang,Pahang,Pahang,Pahang,Pahang,Pahang,Pahang,Pahang,Pahang,Pahang,Pahang,Pahang,Pahang,Pahang,Pahang,Pahang,Pahang,Pahang,Pahang,Pahang,Pahang,Pahang,Pahang,Pahang,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perak,Perlis,Perlis,Perlis,Perlis,Perlis,Perlis,Pulau Pinang,Pulau Pinang,Pulau Pinang,Pulau Pinang,Pulau Pinang,Pulau Pinang,Pulau Pinang,Pulau Pinang,Pulau Pinang,Pulau Pinang,Pulau Pinang,Pulau Pinang,Pulau Pinang,Pulau Pinang,Pulau Pinang,Pulau Pinang,Pulau Pinang,Pulau Pinang,Pulau Pinang,Pulau Pinang,Pulau Pinang,Pulau Pinang,Sabah,Sabah,Sabah,Sabah,Sabah,Sabah,Sabah,Sabah,Sabah,Sabah,Sabah,Sabah,Sabah,Sabah,Sabah,Sabah,Sabah,Sabah,Sabah,Sabah,Sabah,Sabah,Sabah,Sabah,Sabah,Sabah,Sabah,Sabah,Sabah,Sabah,Sabah,Sabah,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Sarawak,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Selangor/KL/Putrajaya,Terengganu,Terengganu,Terengganu,Terengganu,Terengganu,Terengganu,Terengganu,Terengganu,Terengganu,Terengganu,Terengganu,Terengganu,Terengganu,Terengganu,Terengganu,Terengganu,Terengganu,Terengganu,Terengganu,Terengganu,Terengganu,WP Labuan
,,79000,80000,81000,81400,81440,81450,81500,81550,81600,81700,81750,81800,81850,81900,81920,81930,82000,82100,82200,82300,83000,83100,83200,83300,83400,83500,83600,83700,84000,84150,84300,84400,84500,84600,84700,84800,84900,85000,85100,85200,85300,85400,86000,86100,86200,86300,86400,86500,86600,86700,86800,86900,05000,06000,06010,06050,06100,06200,06300,06400,06500,06600,06650,06700,06800,06900,07000,08000,08100,08200,08300,08400,08500,08700,09000,09100,09130,09200,09300,09400,09500,09600,09800,14390,86100,15000,16040,16200,16300,16400,16450,16500,16600,16700,16800,16810,17000,17200,17500,17600,17700,18000,18200,18300,18400,18500,75000,75450,76109,76200,76400,77000,77100,77200,77300,77400,77500,78000,78100,78200,78300,70000,71000,71050,71100,71150,71300,71350,71500,71600,71700,71760,71800,71807,72000,72100,72127,72200,72300,72400,73000,73100,73200,73400,73430,73500,25000,26050,26150,26200,26300,26400,26500,26600,26690,26700,26800,26900,27000,27030,27100,27200,27300,27400,27500,27650,27660,28000,28050,28100,28200,28300,28340,28400,28500,28600,28700,28800,39000,39100,39200,49000,69000,17200,30000,31000,31100,31150,31200,31250,31300,31550,31600,31700,31750,31800,31900,32000,32040,32100,32200,32300,32400,32500,32600,32610,32700,32800,32900,33000,33100,33300,33400,33500,33600,33700,33800,34000,34100,34200,34250,34300,34350,34400,34500,34600,34650,34700,34800,34850,34900,35000,35300,35350,35400,35500,35600,35800,35900,35950,36000,36100,36300,36400,36600,36700,36800,45800,01000,02000,02100,02200,02600,02700,02700,06200,10000,11000,11100,11200,11300,11500,11600,11700,11800,11900,11960,12000,13100,13300,13500,13600,14000,14200,14300,14400,88000,88700,88721,88856,88857,88858,89000,89050,89100,89150,89200,89250,89260,89300,89500,89600,89650,89700,89720,89740,89760,89800,89850,89900,89950,90000,90100,90200,91000,91100,91200,91300,09130,93000,94000,94200,94300,94500,94600,94650,94700,94800,94850,94900,94950,95000,95300,95400,95500,95600,95700,95800,95900,96000,96100,96150,96200,96250,96300,96400,96500,96600,96700,96800,96850,96900,97000,97100,97200,98000,98050,98100,98150,98200,98300,98700,98800,09800,40000,41000,42000,42200,42300,42500,42600,42700,42800,42920,42940,42960,43000,43100,43100,43200,43300,43500,43600,43700,43900,43950,44000,44200,44300,45000,45100,45200,45300,45400,45500,45600,45700,45800,46000,47000,47100,47200,47810,48000,48100,48200,50000,62000,63000,64000,68000,68100,20000,21400,21450,21500,21600,21700,21800,22000,22100,22200,22300,23000,23100,23200,23300,23400,24000,24050,24100,24200,24300,87000
Johor,79000,0,16.718733819929945,26.47601978152801,20.48912601910947,50.102419146779596,36.73345431793814,14.816448646462549,3.701621707652985,55.62045241927942,32.49155749533484,30.555044917247322,28.774078775466815,46.23194363095369,46.781499344582635,53.05038718281695,69.99641381301194,26.079410231685344,36.78243554073273,46.246656778792136,19.725770325224172,89.30415241820603,58.969786407067225,72.3611703725393,80.42662426949505,94.49658762857332,101.55157559217963,105.41080349560761,89.55262447730634,135.4372419049262,123.15616267994534,131.92778399919155,141.5678678948661,128.61930383277672,123.4891530982979,132.78857454925935,137.91362942306165,151.77448906501567,149.73980308135972,162.78468843363976,152.8917478715574,125.12143123021463,111.4418055380106,75.2090669669586,652.3059461395513,55.95376826483303,56.18950155169114,74.35116279677388,110.49740535974664,96.61350497259417,103.18382952473078,114.59089002752948,136.1071293662005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johor,80000,16.718733819929945,0,29.159180182218783,20.97319930969839,49.4576679895115,34.17056102733883,28.579942687301816,19.022373687997998,40.170806471428065,15.837005748060822,13.843490740876007,15.679394710122965,51.23125433212462,34.552742365960256,37.75722309860318,53.27769173807164,41.65441080600254,50.29548970715878,59.53135782543337,35.99436836776639,101.74701706951478,72.46981215351174,85.56979165875293,92.41546068427898,105.6154998704877,113.23957245131315,118.58628035703434,99.27310146191469,148.21227509879162,136.26065696766938,143.96841520190063,153.57617730684788,139.60356682189376,134.32666158783042,143.5093197442768,148.94111399474812,162.93047367068968,157.38916755920457,170.84922183506578,162.03655967487296,131.7602211647069,118.95502583794313,80.91889826748304,659.002542528979,64.85633037468642,62.0809699327666,85.46225998456264,116.55366066044893,102.73486319687058,100.01004765617486,108.75793411673955,133.5802340307497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johor,81000,26.47601978152801,29.159180182218783,0,8.193269628434908,23.72381968058175,12.63824818596518,19.979264887835384,23.8606599135625,65.79280849011789,40.09981318668715,36.94656975838453,25.64277692202777,22.07464924643505,34.22309048939819,46.71404695614177,71.0731867429943,30.609069522139432,30.743429324106803,37.96440856717389,39.45850601763339,76.39390206733306,50.126501617013254,61.9414124998724,66.68611310894744,78.63786218710979,86.73893259052436,93.98846120858833,71.24376199656365,122.63688629893288,111.28919440908572,117.52120727451238,127.01876925841269,112.16050217907996,106.79944197188316,115.83041018169702,121.47520554918755,135.4974521595462,128.31191032219093,141.836646667753,133.3723994922683,102.60373254336427,89.90310848354835,51.76110086446597,629.8586246370073,36.94705149714856,32.95409904871896,58.88620064640117,87.40003066550919,73.57593954103159,76.97896692629602,89.42743176581453,109.7007152452181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johor,81400,20.48912601910947,20.97319930969839,8.193269628434908,0,30.178913946422192,16.244601424480464,18.859817119527996,18.668947578237137,58.141492625398435,32.36521210051549,29.265851701820488,19.03294377353476,30.26719874348762,31.427855687579957,42.14279079792489,65.0409533694326,31.738808211187855,35.1411264115368,43.34122875427536,36.49931576255369,83.4150786550247,55.97002395895694,68.32769446973346,73.8002321286838,86.18770969413438,94.15063802530082,100.81485493597256,79.11837307544927,129.81231553151093,118.26538612825307,124.95451597575733,134.49323963756237,119.88848839573927,114.54902843387005,123.63047881980756,129.2155378568874,143.23519027674192,136.49657266374237,150.00850867537298,141.4571671758413,110.79542731021002,98.08150271030634,59.94624010014267,638.0327218320741,44.7166065687234,41.14463615025507,66.25882265329902,95.5805706645093,81.76309509623172,82.86974297298522,94.1191239085358,115.98847226261354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johor,81440,50.102419146779596,49.4576679895115,23.72381968058175,30.178913946422192,0,15.398003227892515,42.5479970936916,47.58197027792218,79.30761800792138,55.62256674177095,52.504451201762954,39.40406674721036,16.803713220126472,35.408613896855826,50.303026665878754,77.22419370081353,49.971039793052014,44.127716897315196,47.23843381764612,62.33432330686716,74.4435168086271,55.995861546508706,64.31201153354837,64.81636596530856,73.03006589338388,81.76935477759392,92.31127127154886,63.107653454649245,118.12001996417347,108.22491420940963,111.43005852253928,120.43632001083209,103.90458461567661,98.48554864286876,106.84011700930336,112.90943476251184,126.70618091566725,113.28211074216503,127.19372765988376,120.72682258013329,86.63605066209364,75.8662697472143,37.263833264532536,611.8211750029757,34.122058868406135,23.473075663809624,55.98797062203296,71.02107007470141,57.950558674386826,53.28422320891156,66.58207961852997,86.00619622853668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johor,81450,36.73345431793814,34.17056102733883,12.63824818596518,16.244601424480464,15.398003227892515,0,32.51240029012144,34.784012937238174,64.95012033797596,40.564537641134464,37.40498878346746,24.383365896428085,23.21057042407843,25.272771428559526,39.48979178528304,65.67209652179835,43.09213044523438,41.58544006695164,47.517529395182386,51.699335866487964,82.02207392043132,58.66749320624545,69.26945828291812,72.2127887151493,82.54734228805788,91.04848846378322,99.91818949901001,73.77609047005434,127.40843560561322,116.69523150968531,121.48961593626447,130.7825795492806,114.98473582260804,109.56294710051415,118.28156555688356,124.18036511148378,138.13747306878528,127.26024598602926,141.06766104772495,133.81933407640997,100.85433434141092,89.31628716836998,50.43364620422741,626.8677304403536,41.09760682882443,33.47327434201757,63.786284752805685,85.30805285630038,71.87739054946168,66.81774092072584,77.90228502206719,100.11500051453834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johor,81500,14.816448646462549,28.579942687301816,19.979264887835384,18.859817119527996,42.5479970936916,32.51240029012144,0,11.143840654258321,68.72435259635965,44.00860336345692,41.473825316714056,35.30076388721239,34.60226315003888,50.15275211612724,59.767852497916934,80.2980933810599,13.698855223832771,22.147243657517755,31.584076445547016,19.786376524037323,74.54818317996146,44.41851189718469,57.74437347785336,65.62024760235037,79.68972125259039,86.73877778729714,90.82519199031117,74.93505827406005,120.77075336382097,108.56374402463803,117.14628686228339,126.78604258216353,113.80918756823216,108.68724010950392,117.99101221687303,123.10075517246429,136.95834477804382,135.51841440178382,148.42479714530046,138.29178099853257,111.31096276392726,97.36670753102683,62.20645937712742,638.1479706066858,41.79329394379265,43.52088194483732,59.55835131164485,96.99141526979925,83.17261442066487,95.56052262541584,108.98324263213557,127.53959803605645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johor,81550,3.701621707652985,19.022373687997998,23.8606599135625,18.668947578237137,47.58197027792218,34.784012937238174,11.143840654258321,0,58.60362791491207,34.85346369079768,32.69569030653302,29.47109094458845,42.934213079375404,46.812788802474294,54.05333544882934,72.11170628488225,22.915877090485193,33.1888039063989,42.648669238674536,19.067565802270714,85.67281942024455,55.41392642588625,68.78580209954714,76.7639773502022,90.80595151910488,97.88190998104473,101.85064070216308,85.85430407681163,131.8473605273633,119.59469870715505,128.28319535063883,137.92314985742934,124.93019740032517,119.79609508483047,129.09402753037622,134.22666313951999,148.09277106087922,146.08761186955167,159.11446710146913,149.19568176003858,121.52907234052772,107.80737098918186,71.73250741760324,648.6694480704116,52.29563765904416,52.74660223619892,70.65609367536226,106.95201421821815,93.07496768226649,100.80492876906015,112.67679538789376,133.55597859594363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johor,81600,55.62045241927942,40.170806471428065,65.79280849011789,58.141492625398435,79.30761800792138,64.95012033797596,68.72435259635965,58.60362791491207,0,25.783911165297077,28.879415458437663,40.88191778288168,86.81129279164358,47.43707386226096,36.15838554237056,25.087990231470886,81.51300055831003,90.42794060811791,99.59070877798044,72.35483079637672,141.28712462854114,112.52634782648674,125.50183846509749,131.77706303030155,144.32742582240073,152.27460219821444,158.40533965574696,136.99795113676973,187.76048136619403,176.00617699993424,183.07823656034012,192.62727056262622,177.9520616989319,172.5922504360503,181.61388873231385,187.26791531597166,201.29016930675627,192.21006689676202,206.01344864787492,198.4913675449383,165.76107102921154,154.21087643418994,115.34960204844873,690.6551751275615,102.73762868744586,97.66787181271312,124.38299125269504,150.1839698304395,136.82203889220625,120.05994490026758,122.50074468711642,152.93633211929867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
