ppv_region|master_postcode_1|lat_1|lon_1|master_postcode_2|lat_2|lon_2|time_sec
Kelantan|15000|6.121666|102.239932|16040|6.121897|102.202192|607
Kelantan|15000|6.121666|102.239932|16200|6.197963|102.169468|1568
Kelantan|15000|6.121666|102.239932|16300|6.057671|102.399878|2124
Kelantan|15000|6.121666|102.239932|16400|5.967122|102.295417|1481
Kelantan|15000|6.121666|102.239932|16450|5.95956|102.250549|1516
Kelantan|15000|6.121666|102.239932|16500|5.89941944|102.232883|2360
Kelantan|15000|6.121666|102.239932|16600|5.87232927|102.23266766|2193
Kelantan|15000|6.121666|102.239932|16700|5.864271|102.489078|3579
Kelantan|15000|6.121666|102.239932|16800|5.83605|102.406514|2912
Kelantan|15000|6.121666|102.239932|16810|5.895012|102.334539|2036
Kelantan|15000|6.121666|102.239932|17000|6.042556|102.144889|1531
Kelantan|15000|6.121666|102.239932|17200|6.01856473838985|101.976374712651|2902
Kelantan|15000|6.121666|102.239932|17500|5.80384|102.147149|3068
Kelantan|15000|6.121666|102.239932|17600|5.693119|101.847599|5685
Kelantan|15000|6.121666|102.239932|17700|5.778147|101.887721|4964
Kelantan|15000|6.121666|102.239932|18000|5.542867|102.203406|4347
Kelantan|15000|6.121666|102.239932|18200|5.445865|101.912219|7247
Kelantan|15000|6.121666|102.239932|18300|4.881626|101.964755|9908
Kelantan|15000|6.121666|102.239932|18400|5.704387|102.151868|3712
Kelantan|15000|6.121666|102.239932|18500|5.765138|102.217221|3045
Kelantan|16040|6.121897|102.202192|16200|6.197963|102.169468|962
Kelantan|16040|6.121897|102.202192|16300|6.057671|102.399878|2342
Kelantan|16040|6.121897|102.202192|16400|5.967122|102.295417|1851
Kelantan|16040|6.121897|102.202192|16450|5.95956|102.250549|1717
Kelantan|16040|6.121897|102.202192|16500|5.89941944|102.232883|2717
Kelantan|16040|6.121897|102.202192|16600|5.87232927|102.23266766|2550
Kelantan|16040|6.121897|102.202192|16700|5.864271|102.489078|3797
Kelantan|16040|6.121897|102.202192|16800|5.83605|102.406514|3253
Kelantan|16040|6.121897|102.202192|16810|5.895012|102.334539|2377
Kelantan|16040|6.121897|102.202192|17000|6.042556|102.144889|1280
Kelantan|16040|6.121897|102.202192|17200|6.01856473838985|101.976374712651|2594
Kelantan|16040|6.121897|102.202192|17500|5.80384|102.147149|3048
Kelantan|16040|6.121897|102.202192|17600|5.693119|101.847599|5419
Kelantan|16040|6.121897|102.202192|17700|5.778147|101.887721|4698
Kelantan|16040|6.121897|102.202192|18000|5.542867|102.203406|4704
Kelantan|16040|6.121897|102.202192|18200|5.445865|101.912219|6981
Kelantan|16040|6.121897|102.202192|18300|4.881626|101.964755|10265
Kelantan|16040|6.121897|102.202192|18400|5.704387|102.151868|4069
Kelantan|16040|6.121897|102.202192|18500|5.765138|102.217221|3402
Kelantan|16200|6.197963|102.169468|16300|6.057671|102.399878|3298
Kelantan|16200|6.197963|102.169468|16400|5.967122|102.295417|2806
Kelantan|16200|6.197963|102.169468|16450|5.95956|102.250549|2598
Kelantan|16200|6.197963|102.169468|16500|5.89941944|102.232883|3598
Kelantan|16200|6.197963|102.169468|16600|5.87232927|102.23266766|3431
Kelantan|16200|6.197963|102.169468|16700|5.864271|102.489078|4753
Kelantan|16200|6.197963|102.169468|16800|5.83605|102.406514|4208
Kelantan|16200|6.197963|102.169468|16810|5.895012|102.334539|3332
Kelantan|16200|6.197963|102.169468|17000|6.042556|102.144889|1870
Kelantan|16200|6.197963|102.169468|17200|6.01856473838985|101.976374712651|2648
Kelantan|16200|6.197963|102.169468|17500|5.80384|102.147149|3593
Kelantan|16200|6.197963|102.169468|17600|5.693119|101.847599|5474
Kelantan|16200|6.197963|102.169468|17700|5.778147|101.887721|4752
Kelantan|16200|6.197963|102.169468|18000|5.542867|102.203406|5585
Kelantan|16200|6.197963|102.169468|18200|5.445865|101.912219|7036
Kelantan|16200|6.197963|102.169468|18300|4.881626|101.964755|11146
Kelantan|16200|6.197963|102.169468|18400|5.704387|102.151868|4597
Kelantan|16200|6.197963|102.169468|18500|5.765138|102.217221|4283
Kelantan|16300|6.057671|102.399878|16400|5.967122|102.295417|1602
Kelantan|16300|6.057671|102.399878|16450|5.95956|102.250549|2023
Kelantan|16300|6.057671|102.399878|16500|5.89941944|102.232883|2947
Kelantan|16300|6.057671|102.399878|16600|5.87232927|102.23266766|2780
Kelantan|16300|6.057671|102.399878|16700|5.864271|102.489078|1593
