ppv_region|master_postcode_1|lat_1|lon_1|master_postcode_2|lat_2|lon_2|time_sec
Melaka|75000|2.214094|102.264939|75450|2.26203|102.291153|862
Melaka|75000|2.214094|102.264939|75460|2.238062|102.27804599999999|513
Melaka|75000|2.214094|102.264939|76100|2.26240649|102.272489135|1024
Melaka|75000|2.214094|102.264939|76109|2.31071898|102.28003927|1292
Melaka|75000|2.214094|102.264939|76200|2.28886422|102.13097881|1735
Melaka|75000|2.214094|102.264939|76400|2.222|102.164947|1294
Melaka|75000|2.214094|102.264939|77000|2.305671|102.428452|2072
Melaka|75000|2.214094|102.264939|77100|2.3931594|102.54681448|3251
Melaka|75000|2.214094|102.264939|77200|2.2668124|102.37808486|1449
Melaka|75000|2.214094|102.264939|77300|2.146369|102.426138|1653
Melaka|75000|2.214094|102.264939|77400|2.13678069|102.50515944|1845
Melaka|75000|2.214094|102.264939|77500|2.388613|102.376105|2316
Melaka|75000|2.214094|102.264939|78000|2.383892|102.208556|1989
Melaka|75000|2.214094|102.264939|78100|2.454336|102.070731|3278
Melaka|75000|2.214094|102.264939|78200|2.36186389|102.036969|2939
Melaka|75000|2.214094|102.264939|78300|2.350005|102.108881|2274
Melaka|75450|2.26203|102.291153|75460|2.238062|102.27804599999999|681
Melaka|75450|2.26203|102.291153|76100|2.26240649|102.272489135|580
Melaka|75450|2.26203|102.291153|76109|2.31071898|102.28003927|647
Melaka|75450|2.26203|102.291153|76200|2.28886422|102.13097881|1694
Melaka|75450|2.26203|102.291153|76400|2.222|102.164947|1833
Melaka|75450|2.26203|102.291153|77000|2.305671|102.428452|1498
Melaka|75450|2.26203|102.291153|77100|2.3931594|102.54681448|2677
Melaka|75450|2.26203|102.291153|77200|2.2668124|102.37808486|875
Melaka|75450|2.26203|102.291153|77300|2.146369|102.426138|2119
Melaka|75450|2.26203|102.291153|77400|2.13678069|102.50515944|2285
Melaka|75450|2.26203|102.291153|77500|2.388613|102.376105|1544
Melaka|75450|2.26203|102.291153|78000|2.383892|102.208556|1668
Melaka|75450|2.26203|102.291153|78100|2.454336|102.070731|2461
Melaka|75450|2.26203|102.291153|78200|2.36186389|102.036969|2899
Melaka|75450|2.26203|102.291153|78300|2.350005|102.108881|2234
Melaka|75460|2.238062|102.27804599999999|76100|2.26240649|102.272489135|562
Melaka|75460|2.238062|102.27804599999999|76109|2.31071898|102.28003927|1038
Melaka|75460|2.238062|102.27804599999999|76200|2.28886422|102.13097881|1937
Melaka|75460|2.238062|102.27804599999999|76400|2.222|102.164947|1706
Melaka|75460|2.238062|102.27804599999999|77000|2.305671|102.428452|1844
Melaka|75460|2.238062|102.27804599999999|77100|2.3931594|102.54681448|3023
Melaka|75460|2.238062|102.27804599999999|77200|2.2668124|102.37808486|1222
Melaka|75460|2.238062|102.27804599999999|77300|2.146369|102.426138|1998
Melaka|75460|2.238062|102.27804599999999|77400|2.13678069|102.50515944|2165
Melaka|75460|2.238062|102.27804599999999|77500|2.388613|102.376105|1935
Melaka|75460|2.238062|102.27804599999999|78000|2.383892|102.208556|2059
Melaka|75460|2.238062|102.27804599999999|78100|2.454336|102.070731|2852
Melaka|75460|2.238062|102.27804599999999|78200|2.36186389|102.036969|3141
Melaka|75460|2.238062|102.27804599999999|78300|2.350005|102.108881|2476
Melaka|76100|2.26240649|102.272489135|76109|2.31071898|102.28003927|860
Melaka|76100|2.26240649|102.272489135|76200|2.28886422|102.13097881|1654
Melaka|76100|2.26240649|102.272489135|76400|2.222|102.164947|1674
Melaka|76100|2.26240649|102.272489135|77000|2.305671|102.428452|1858
Melaka|76100|2.26240649|102.272489135|77100|2.3931594|102.54681448|3038
Melaka|76100|2.26240649|102.272489135|77200|2.2668124|102.37808486|1236
Melaka|76100|2.26240649|102.272489135|77300|2.146369|102.426138|2448
Melaka|76100|2.26240649|102.272489135|77400|2.13678069|102.50515944|2614
Melaka|76100|2.26240649|102.272489135|77500|2.388613|102.376105|1884
Melaka|76100|2.26240649|102.272489135|78000|2.383892|102.208556|1900
Melaka|76100|2.26240649|102.272489135|78100|2.454336|102.070731|2848
Melaka|76100|2.26240649|102.272489135|78200|2.36186389|102.036969|2859
Melaka|76100|2.26240649|102.272489135|78300|2.350005|102.108881|2193
Melaka|76109|2.31071898|102.28003927|76200|2.28886422|102.13097881|1499
Melaka|76109|2.31071898|102.28003927|76400|2.222|102.164947|1804
Melaka|76109|2.31071898|102.28003927|77000|2.305671|102.428452|1442
Melaka|76109|2.31071898|102.28003927|77100|2.3931594|102.54681448|2417
Melaka|76109|2.31071898|102.28003927|77200|2.2668124|102.37808486|1261
Melaka|76109|2.31071898|102.28003927|77300|2.146369|102.426138|2362
Melaka|76109|2.31071898|102.28003927|77400|2.13678069|102.50515944|2510
Melaka|76109|2.31071898|102.28003927|77500|2.388613|102.376105|1053
Melaka|76109|2.31071898|102.28003927|78000|2.383892|102.208556|1177
Melaka|76109|2.31071898|102.28003927|78100|2.454336|102.070731|2446
Melaka|76109|2.31071898|102.28003927|78200|2.36186389|102.036969|2738
Melaka|76109|2.31071898|102.28003927|78300|2.350005|102.108881|1931
Melaka|76200|2.28886422|102.13097881|76400|2.222|102.164947|840
Melaka|76200|2.28886422|102.13097881|77000|2.305671|102.428452|3035
Melaka|76200|2.28886422|102.13097881|77100|2.3931594|102.54681448|4010
Melaka|76200|2.28886422|102.13097881|77200|2.2668124|102.37808486|2561
Melaka|76200|2.28886422|102.13097881|77300|2.146369|102.426138|3562
Melaka|76200|2.28886422|102.13097881|77400|2.13678069|102.50515944|3754
Melaka|76200|2.28886422|102.13097881|77500|2.388613|102.376105|2646
Melaka|76200|2.28886422|102.13097881|78000|2.383892|102.208556|1630
Melaka|76200|2.28886422|102.13097881|78100|2.454336|102.070731|1843
Melaka|76200|2.28886422|102.13097881|78200|2.36186389|102.036969|1399
Melaka|76200|2.28886422|102.13097881|78300|2.350005|102.108881|733
Melaka|76400|2.222|102.164947|77000|2.305671|102.428452|3126
Melaka|76400|2.222|102.164947|77100|2.3931594|102.54681448|4206
Melaka|76400|2.222|102.164947|77200|2.2668124|102.37808486|2503
Melaka|76400|2.222|102.164947|77300|2.146369|102.426138|2896
Melaka|76400|2.222|102.164947|77400|2.13678069|102.50515944|3087
Melaka|76400|2.222|102.164947|77500|2.388613|102.376105|2842
Melaka|76400|2.222|102.164947|78000|2.383892|102.208556|2024
Melaka|76400|2.222|102.164947|78100|2.454336|102.070731|2608
Melaka|76400|2.222|102.164947|78200|2.36186389|102.036969|2164
Melaka|76400|2.222|102.164947|78300|2.350005|102.108881|1499
Melaka|77000|2.305671|102.428452|77100|2.3931594|102.54681448|1310
Melaka|77000|2.305671|102.428452|77200|2.2668124|102.37808486|547
Melaka|77000|2.305671|102.428452|77300|2.146369|102.426138|1526
Melaka|77000|2.305671|102.428452|77400|2.13678069|102.50515944|1674
Melaka|77000|2.305671|102.428452|77500|2.388613|102.376105|1105
Melaka|77000|2.305671|102.428452|78000|2.383892|102.208556|2394
Melaka|77000|2.305671|102.428452|78100|2.454336|102.070731|3548
Melaka|77000|2.305671|102.428452|78200|2.36186389|102.036969|3955
Melaka|77000|2.305671|102.428452|78300|2.350005|102.108881|3149
Melaka|77100|2.3931594|102.54681448|77200|2.2668124|102.37808486|1725
Melaka|77100|2.3931594|102.54681448|77300|2.146369|102.426138|2580
Melaka|77100|2.3931594|102.54681448|77400|2.13678069|102.50515944|2728
Melaka|77100|2.3931594|102.54681448|77500|2.388613|102.376105|1362
Melaka|77100|2.3931594|102.54681448|78000|2.383892|102.208556|2834
Melaka|77100|2.3931594|102.54681448|78100|2.454336|102.070731|4104
Melaka|77100|2.3931594|102.54681448|78200|2.36186389|102.036969|4395
Melaka|77100|2.3931594|102.54681448|78300|2.350005|102.108881|3588
Melaka|77200|2.2668124|102.37808486|77300|2.146369|102.426138|1251
Melaka|77200|2.2668124|102.37808486|77400|2.13678069|102.50515944|1418
Melaka|77200|2.2668124|102.37808486|77500|2.388613|102.376105|1169
Melaka|77200|2.2668124|102.37808486|78000|2.383892|102.208556|2391
Melaka|77200|2.2668124|102.37808486|78100|2.454336|102.070731|3184
Melaka|77200|2.2668124|102.37808486|78200|2.36186389|102.036969|3551
Melaka|77200|2.2668124|102.37808486|78300|2.350005|102.108881|2885
Melaka|77300|2.146369|102.426138|77400|2.13678069|102.50515944|693
Melaka|77300|2.146369|102.426138|77500|2.388613|102.376105|2261
Melaka|77300|2.146369|102.426138|78000|2.383892|102.208556|3292
Melaka|77300|2.146369|102.426138|78100|2.454336|102.070731|3886
Melaka|77300|2.146369|102.426138|78200|2.36186389|102.036969|4460
Melaka|77300|2.146369|102.426138|78300|2.350005|102.108881|3794
Melaka|77400|2.13678069|102.50515944|77500|2.388613|102.376105|2538
Melaka|77400|2.13678069|102.50515944|78000|2.383892|102.208556|3569
Melaka|77400|2.13678069|102.50515944|78100|2.454336|102.070731|4163
Melaka|77400|2.13678069|102.50515944|78200|2.36186389|102.036969|4826
Melaka|77400|2.13678069|102.50515944|78300|2.350005|102.108881|4160
Melaka|77500|2.388613|102.376105|78000|2.383892|102.208556|1472
Melaka|77500|2.388613|102.376105|78100|2.454336|102.070731|2741
Melaka|77500|2.388613|102.376105|78200|2.36186389|102.036969|3033
Melaka|77500|2.388613|102.376105|78300|2.350005|102.108881|2226
Melaka|78000|2.383892|102.208556|78100|2.454336|102.070731|1442
Melaka|78000|2.383892|102.208556|78200|2.36186389|102.036969|1904
Melaka|78000|2.383892|102.208556|78300|2.350005|102.108881|1098
Melaka|78100|2.454336|102.070731|78200|2.36186389|102.036969|861
Melaka|78100|2.454336|102.070731|78300|2.350005|102.108881|1100
Melaka|78200|2.36186389|102.036969|78300|2.350005|102.108881|917
