ppv_region|master_postcode_1|lat_1|lon_1|master_postcode_2|lat_2|lon_2|time_sec
Negeri Sembilan|70000|2.71934|101.941512|71000|2.523732|101.796211|2092
Negeri Sembilan|70000|2.71934|101.941512|71050|2.494979|101.841266|1699
Negeri Sembilan|70000|2.71934|101.941512|71100|2.589335|101.963731|1410
Negeri Sembilan|70000|2.71934|101.941512|71150|2.48444304|102.01102363|1765
Negeri Sembilan|70000|2.71934|101.941512|71300|2.590699|102.094201|1788
Negeri Sembilan|70000|2.71934|101.941512|71350|2.518206|102.158493|2413
Negeri Sembilan|70000|2.71934|101.941512|71500|2.62232778|102.062638|1404
Negeri Sembilan|70000|2.71934|101.941512|71600|2.941248|102.0708|2523
Negeri Sembilan|70000|2.71934|101.941512|71700|2.82368|101.892415|1573
Negeri Sembilan|70000|2.71934|101.941512|71760|2.775202|101.766923|2251
Negeri Sembilan|70000|2.71934|101.941512|71800|2.779358835|101.810807805|1074
Negeri Sembilan|70000|2.71934|101.941512|71807|2.802367|101.799073|1987
Negeri Sembilan|70000|2.71934|101.941512|71900|2.75635067|101.82254261|1462
Negeri Sembilan|70000|2.71934|101.941512|72000|2.743621|102.247788|2654
Negeri Sembilan|70000|2.71934|101.941512|72100|2.809845|102.403047|4070
Negeri Sembilan|70000|2.71934|101.941512|72120|2.8541679699999998|102.404534935|4513
Negeri Sembilan|70000|2.71934|101.941512|72127|2.89849094|102.40602287|4532
Negeri Sembilan|70000|2.71934|101.941512|72200|2.828056|102.31673|3522
Negeri Sembilan|70000|2.71934|101.941512|72300|2.946662|102.259976|4145
Negeri Sembilan|70000|2.71934|101.941512|72400|3.098981|102.21778797|4467
Negeri Sembilan|70000|2.71934|101.941512|73000|2.468613|102.231114|2728
Negeri Sembilan|70000|2.71934|101.941512|73100|2.60228812|102.26426645|3259
Negeri Sembilan|70000|2.71934|101.941512|73200|2.532001|102.401722|3968
Negeri Sembilan|70000|2.71934|101.941512|73400|2.580584|102.612046|5615
Negeri Sembilan|70000|2.71934|101.941512|73430|2.59444953|101.82665899|1568
Negeri Sembilan|70000|2.71934|101.941512|73500|2.70850856|102.50427596|4649
Negeri Sembilan|71000|2.523732|101.796211|71050|2.494979|101.841266|729
Negeri Sembilan|71000|2.523732|101.796211|71100|2.589335|101.963731|1957
Negeri Sembilan|71000|2.523732|101.796211|71150|2.48444304|102.01102363|2387
Negeri Sembilan|71000|2.523732|101.796211|71300|2.590699|102.094201|3145
Negeri Sembilan|71000|2.523732|101.796211|71350|2.518206|102.158493|3457
Negeri Sembilan|71000|2.523732|101.796211|71500|2.62232778|102.062638|3043
Negeri Sembilan|71000|2.523732|101.796211|71600|2.941248|102.0708|4467
Negeri Sembilan|71000|2.523732|101.796211|71700|2.82368|101.892415|3477
Negeri Sembilan|71000|2.523732|101.796211|71760|2.775202|101.766923|2832
Negeri Sembilan|71000|2.523732|101.796211|71800|2.779358835|101.810807805|2369
Negeri Sembilan|71000|2.523732|101.796211|71807|2.802367|101.799073|3319
Negeri Sembilan|71000|2.523732|101.796211|71900|2.75635067|101.82254261|2723
Negeri Sembilan|71000|2.523732|101.796211|72000|2.743621|102.247788|4598
Negeri Sembilan|71000|2.523732|101.796211|72100|2.809845|102.403047|6014
Negeri Sembilan|71000|2.523732|101.796211|72120|2.8541679699999998|102.404534935|6457
Negeri Sembilan|71000|2.523732|101.796211|72127|2.89849094|102.40602287|6476
Negeri Sembilan|71000|2.523732|101.796211|72200|2.828056|102.31673|5466
Negeri Sembilan|71000|2.523732|101.796211|72300|2.946662|102.259976|6089
Negeri Sembilan|71000|2.523732|101.796211|72400|3.098981|102.21778797|6411
Negeri Sembilan|71000|2.523732|101.796211|73000|2.468613|102.231114|4195
Negeri Sembilan|71000|2.523732|101.796211|73100|2.60228812|102.26426645|4616
Negeri Sembilan|71000|2.523732|101.796211|73200|2.532001|102.401722|5486
Negeri Sembilan|71000|2.523732|101.796211|73400|2.580584|102.612046|7133
Negeri Sembilan|71000|2.523732|101.796211|73430|2.59444953|101.82665899|1127
Negeri Sembilan|71000|2.523732|101.796211|73500|2.70850856|102.50427596|6445
Negeri Sembilan|71050|2.494979|101.841266|71100|2.589335|101.963731|1520
Negeri Sembilan|71050|2.494979|101.841266|71150|2.48444304|102.01102363|1707
Negeri Sembilan|71050|2.494979|101.841266|71300|2.590699|102.094201|2607
Negeri Sembilan|71050|2.494979|101.841266|71350|2.518206|102.158493|2772
Negeri Sembilan|71050|2.494979|101.841266|71500|2.62232778|102.062638|2506
Negeri Sembilan|71050|2.494979|101.841266|71600|2.941248|102.0708|4049
Negeri Sembilan|71050|2.494979|101.841266|71700|2.82368|101.892415|3059
Negeri Sembilan|71050|2.494979|101.841266|71760|2.775202|101.766923|2886
Negeri Sembilan|71050|2.494979|101.841266|71800|2.779358835|101.810807805|1951
Negeri Sembilan|71050|2.494979|101.841266|71807|2.802367|101.799073|2864
Negeri Sembilan|71050|2.494979|101.841266|71900|2.75635067|101.82254261|2399
Negeri Sembilan|71050|2.494979|101.841266|72000|2.743621|102.247788|4181
Negeri Sembilan|71050|2.494979|101.841266|72100|2.809845|102.403047|5596
Negeri Sembilan|71050|2.494979|101.841266|72120|2.8541679699999998|102.404534935|6039
Negeri Sembilan|71050|2.494979|101.841266|72127|2.89849094|102.40602287|6059
Negeri Sembilan|71050|2.494979|101.841266|72200|2.828056|102.31673|5048
Negeri Sembilan|71050|2.494979|101.841266|72300|2.946662|102.259976|5672
Negeri Sembilan|71050|2.494979|101.841266|72400|3.098981|102.21778797|5994
Negeri Sembilan|71050|2.494979|101.841266|73000|2.468613|102.231114|3510
Negeri Sembilan|71050|2.494979|101.841266|73100|2.60228812|102.26426645|3968
Negeri Sembilan|71050|2.494979|101.841266|73200|2.532001|102.401722|4962
Negeri Sembilan|71050|2.494979|101.841266|73400|2.580584|102.612046|6609
Negeri Sembilan|71050|2.494979|101.841266|73430|2.59444953|101.82665899|1181
Negeri Sembilan|71050|2.494979|101.841266|73500|2.70850856|102.50427596|5797
Negeri Sembilan|71100|2.589335|101.963731|71150|2.48444304|102.01102363|967
Negeri Sembilan|71100|2.589335|101.963731|71300|2.590699|102.094201|1188
Negeri Sembilan|71100|2.589335|101.963731|71350|2.518206|102.158493|1813
Negeri Sembilan|71100|2.589335|101.963731|71500|2.62232778|102.062638|1086
Negeri Sembilan|71100|2.589335|101.963731|71600|2.941248|102.0708|3658
Negeri Sembilan|71100|2.589335|101.963731|71700|2.82368|101.892415|2804
Negeri Sembilan|71100|2.589335|101.963731|71760|2.775202|101.766923|2842
