ppv_region|master_postcode_1|lat_1|lon_1|master_postcode_2|lat_2|lon_2|time_sec
Perak|30000|4.596058|101.073563|31000|4.472122|101.041221|1861
Perak|30000|4.596058|101.073563|31100|4.819479|101.071472|2633
Perak|30000|4.596058|101.073563|31150|4.63369275|101.14904355|1350
Perak|30000|4.596058|101.073563|31200|4.716403|101.12141|1534
Perak|30000|4.596058|101.073563|31250|4.671696|101.156726|1598
Perak|30000|4.596058|101.073563|31300|4.5397|101.124467|1108
Perak|30000|4.596058|101.073563|31550|4.50934444|101.016541|1455
Perak|30000|4.596058|101.073563|31600|4.472588|101.165236|1803
Perak|30000|4.596058|101.073563|31700|4.350328|101.114988|2670
Perak|30000|4.596058|101.073563|31750|4.421432|100.990738|2114
Perak|30000|4.596058|101.073563|31800|4.325231|101.056293|2931
Perak|30000|4.596058|101.073563|31850|4.39372302058689|101.19221718279|2690
Perak|30000|4.596058|101.073563|31900|4.311087|101.154127|2843
Perak|30000|4.596058|101.073563|32000|4.216697|100.696561|4706
Perak|30000|4.596058|101.073563|32040|4.19796114|100.66686057|5207
Perak|30000|4.596058|101.073563|32100|4.21121389|100.641323|5207
Perak|30000|4.596058|101.073563|32200|4.235521|100.650601|5084
Perak|30000|4.596058|101.073563|32300|4.212584|100.574267|inf
Perak|30000|4.596058|101.073563|32400|4.297995|100.755891|4151
Perak|30000|4.596058|101.073563|32500|4.37784054|100.68909667|4758
Perak|30000|4.596058|101.073563|32600|4.1294355|100.8280295|5378
Perak|30000|4.596058|101.073563|32610|4.36202994|100.96163389|2672
Perak|30000|4.596058|101.073563|32700|4.500985|100.780752|4799
Perak|30000|4.596058|101.073563|32800|4.476795|100.909785|2635
Perak|30000|4.596058|101.073563|32900|4.26671419|100.90588587|3773
Perak|30000|4.596058|101.073563|33000|4.772271|100.942079|2477
Perak|30000|4.596058|101.073563|33100|5.703793|100.998771|8893
Perak|30000|4.596058|101.073563|33300|5.430877|101.128309|6440
Perak|30000|4.596058|101.073563|33400|5.108048|100.967553|4000
Perak|30000|4.596058|101.073563|33500|4.936519|100.922545|3030
Perak|30000|4.596058|101.073563|33600|4.84822789|100.95653474|3193
Perak|30000|4.596058|101.073563|33700|4.7755|100.843371|2353
Perak|30000|4.596058|101.073563|33800|4.595629|100.881679|3804
Perak|30000|4.596058|101.073563|34000|4.854739|100.741679|3678
Perak|30000|4.596058|101.073563|34100|5.218811|100.694352|5557
Perak|30000|4.596058|101.073563|34140|5.241026|100.731474|5916
Perak|30000|4.596058|101.073563|34200|5.130364|100.489281|4859
Perak|30000|4.596058|101.073563|34250|5.075942|100.387405|5606
Perak|30000|4.596058|101.073563|34300|5.007799|100.539492|4461
