ppv_region|master_postcode_1|lat_1|lon_1|master_postcode_2|lat_2|lon_2|time_sec
Perlis|01000|6.439888|100.194903|02000|6.39476874|100.13884936|876
Perlis|01000|6.439888|100.194903|02100|6.66004|100.322204|2407
Perlis|01000|6.439888|100.194903|02200|6.643297|100.208392|1749
Perlis|01000|6.439888|100.194903|02600|6.42730522|100.27142292|974
Perlis|01000|6.439888|100.194903|02700|6.34247243799901|100.189821952289|1008
Perlis|02000|6.39476874|100.13884936|02100|6.66004|100.322204|2752
Perlis|02000|6.39476874|100.13884936|02200|6.643297|100.208392|2286
Perlis|02000|6.39476874|100.13884936|02600|6.42730522|100.27142292|891
Perlis|02000|6.39476874|100.13884936|02700|6.34247243799901|100.189821952289|717
Perlis|02100|6.66004|100.322204|02200|6.643297|100.208392|1011
Perlis|02100|6.66004|100.322204|02600|6.42730522|100.27142292|2070
Perlis|02100|6.66004|100.322204|02700|6.34247243799901|100.189821952289|2796
Perlis|02200|6.643297|100.208392|02600|6.42730522|100.27142292|2269
Perlis|02200|6.643297|100.208392|02700|6.34247243799901|100.189821952289|2455
Perlis|02600|6.42730522|100.27142292|02700|6.34247243799901|100.189821952289|1037
