ppv_region|master_postcode_1|lat_1|lon_1|master_postcode_2|lat_2|lon_2|time_sec
Pulau Pinang|10000|5.417518|100.344026|11000|5.348919|100.233329|2244
Pulau Pinang|10000|5.417518|100.344026|11100|5.471325|100.24661|1849
Pulau Pinang|10000|5.417518|100.344026|11200|5.465027|100.282452|1259
Pulau Pinang|10000|5.417518|100.344026|11300|5.425367|100.269033|1850
Pulau Pinang|10000|5.417518|100.344026|11500|5.404162|100.279923|1162
Pulau Pinang|10000|5.417518|100.344026|11600|5.387552|100.312521|711
Pulau Pinang|10000|5.417518|100.344026|11700|5.36817396|100.30980267|883
Pulau Pinang|10000|5.417518|100.344026|11800|5.35679|100.303815|967
Pulau Pinang|10000|5.417518|100.344026|11900|5.294219|100.257734|1416
Pulau Pinang|10000|5.417518|100.344026|11960|5.28536|100.286315|1160
Pulau Pinang|10000|5.417518|100.344026|12000|5.392116|100.369817|1513
Pulau Pinang|10000|5.417518|100.344026|13100|5.523633|100.381103|2479
Pulau Pinang|10000|5.417518|100.344026|13200|5.21804085707791|100.495090233852|2603
Pulau Pinang|10000|5.417518|100.344026|13300|5.481544|100.494445|2515
Pulau Pinang|10000|5.417518|100.344026|13500|5.411136|100.413304|1546
Pulau Pinang|10000|5.417518|100.344026|13600|5.387076|100.383659|1491
Pulau Pinang|10000|5.417518|100.344026|14000|5.365022|100.459264|1831
Pulau Pinang|10000|5.417518|100.344026|14100|5.283955|100.476943|2129
Pulau Pinang|10000|5.417518|100.344026|14200|5.215871|100.497033|2630
Pulau Pinang|10000|5.417518|100.344026|14300|5.167157|100.475425|2624
Pulau Pinang|10000|5.417518|100.344026|14400|5.40516079|100.46327128|1887
Pulau Pinang|11000|5.348919|100.233329|11100|5.471325|100.24661|2395
Pulau Pinang|11000|5.348919|100.233329|11200|5.465027|100.282452|2651
Pulau Pinang|11000|5.348919|100.233329|11300|5.425367|100.269033|2928
Pulau Pinang|11000|5.348919|100.233329|11500|5.404162|100.279923|1385
Pulau Pinang|11000|5.348919|100.233329|11600|5.387552|100.312521|1684
Pulau Pinang|11000|5.348919|100.233329|11700|5.36817396|100.30980267|1594
Pulau Pinang|11000|5.348919|100.233329|11800|5.35679|100.303815|1407
Pulau Pinang|11000|5.348919|100.233329|11900|5.294219|100.257734|1237
Pulau Pinang|11000|5.348919|100.233329|11960|5.28536|100.286315|1795
Pulau Pinang|11000|5.348919|100.233329|12000|5.392116|100.369817|2377
Pulau Pinang|11000|5.348919|100.233329|13100|5.523633|100.381103|3343
Pulau Pinang|11000|5.348919|100.233329|13200|5.21804085707791|100.495090233852|3467
Pulau Pinang|11000|5.348919|100.233329|13300|5.481544|100.494445|3379
Pulau Pinang|11000|5.348919|100.233329|13500|5.411136|100.413304|2410
Pulau Pinang|11000|5.348919|100.233329|13600|5.387076|100.383659|2355
Pulau Pinang|11000|5.348919|100.233329|14000|5.365022|100.459264|2695
Pulau Pinang|11000|5.348919|100.233329|14100|5.283955|100.476943|2993
Pulau Pinang|11000|5.348919|100.233329|14200|5.215871|100.497033|3494
Pulau Pinang|11000|5.348919|100.233329|14300|5.167157|100.475425|3488
Pulau Pinang|11000|5.348919|100.233329|14400|5.40516079|100.46327128|2750
Pulau Pinang|11100|5.471325|100.24661|11200|5.465027|100.282452|672
Pulau Pinang|11100|5.471325|100.24661|11300|5.425367|100.269033|2392
Pulau Pinang|11100|5.471325|100.24661|11500|5.404162|100.279923|2032
Pulau Pinang|11100|5.471325|100.24661|11600|5.387552|100.312521|2009
Pulau Pinang|11100|5.471325|100.24661|11700|5.36817396|100.30980267|2042
Pulau Pinang|11100|5.471325|100.24661|11800|5.35679|100.303815|2364
Pulau Pinang|11100|5.471325|100.24661|11900|5.294219|100.257734|2836
Pulau Pinang|11100|5.471325|100.24661|11960|5.28536|100.286315|2580
Pulau Pinang|11100|5.471325|100.24661|12000|5.392116|100.369817|2933
Pulau Pinang|11100|5.471325|100.24661|13100|5.523633|100.381103|3899
Pulau Pinang|11100|5.471325|100.24661|13200|5.21804085707791|100.495090233852|4023
Pulau Pinang|11100|5.471325|100.24661|13300|5.481544|100.494445|3935
Pulau Pinang|11100|5.471325|100.24661|13500|5.411136|100.413304|2966
Pulau Pinang|11100|5.471325|100.24661|13600|5.387076|100.383659|2911
Pulau Pinang|11100|5.471325|100.24661|14000|5.365022|100.459264|3251
Pulau Pinang|11100|5.471325|100.24661|14100|5.283955|100.476943|3549
Pulau Pinang|11100|5.471325|100.24661|14200|5.215871|100.497033|4050
Pulau Pinang|11100|5.471325|100.24661|14300|5.167157|100.475425|4044
Pulau Pinang|11100|5.471325|100.24661|14400|5.40516079|100.46327128|3306
Pulau Pinang|11200|5.465027|100.282452|11300|5.425367|100.269033|1859
Pulau Pinang|11200|5.465027|100.282452|11500|5.404162|100.279923|1499
Pulau Pinang|11200|5.465027|100.282452|11600|5.387552|100.312521|1476
Pulau Pinang|11200|5.465027|100.282452|11700|5.36817396|100.30980267|1509
Pulau Pinang|11200|5.465027|100.282452|11800|5.35679|100.303815|1831
Pulau Pinang|11200|5.465027|100.282452|11900|5.294219|100.257734|2303
Pulau Pinang|11200|5.465027|100.282452|11960|5.28536|100.286315|2046
Pulau Pinang|11200|5.465027|100.282452|12000|5.392116|100.369817|2400
Pulau Pinang|11200|5.465027|100.282452|13100|5.523633|100.381103|3365
Pulau Pinang|11200|5.465027|100.282452|13200|5.21804085707791|100.495090233852|3489
Pulau Pinang|11200|5.465027|100.282452|13300|5.481544|100.494445|3401
Pulau Pinang|11200|5.465027|100.282452|13500|5.411136|100.413304|2432
Pulau Pinang|11200|5.465027|100.282452|13600|5.387076|100.383659|2377
Pulau Pinang|11200|5.465027|100.282452|14000|5.365022|100.459264|2718
Pulau Pinang|11200|5.465027|100.282452|14100|5.283955|100.476943|3016
Pulau Pinang|11200|5.465027|100.282452|14200|5.215871|100.497033|3517
Pulau Pinang|11200|5.465027|100.282452|14300|5.167157|100.475425|3510
Pulau Pinang|11200|5.465027|100.282452|14400|5.40516079|100.46327128|2773
Pulau Pinang|11300|5.425367|100.269033|11500|5.404162|100.279923|1809
Pulau Pinang|11300|5.425367|100.269033|11600|5.387552|100.312521|1787
Pulau Pinang|11300|5.425367|100.269033|11700|5.36817396|100.30980267|1819
Pulau Pinang|11300|5.425367|100.269033|11800|5.35679|100.303815|2142
Pulau Pinang|11300|5.425367|100.269033|11900|5.294219|100.257734|2613
Pulau Pinang|11300|5.425367|100.269033|11960|5.28536|100.286315|2357
Pulau Pinang|11300|5.425367|100.269033|12000|5.392116|100.369817|2710
Pulau Pinang|11300|5.425367|100.269033|13100|5.523633|100.381103|3676
Pulau Pinang|11300|5.425367|100.269033|13200|5.21804085707791|100.495090233852|3800
Pulau Pinang|11300|5.425367|100.269033|13300|5.481544|100.494445|3712
Pulau Pinang|11300|5.425367|100.269033|13500|5.411136|100.413304|2743
Pulau Pinang|11300|5.425367|100.269033|13600|5.387076|100.383659|2688
Pulau Pinang|11300|5.425367|100.269033|14000|5.365022|100.459264|3028
Pulau Pinang|11300|5.425367|100.269033|14100|5.283955|100.476943|3326
Pulau Pinang|11300|5.425367|100.269033|14200|5.215871|100.497033|3827
Pulau Pinang|11300|5.425367|100.269033|14300|5.167157|100.475425|3821
Pulau Pinang|11300|5.425367|100.269033|14400|5.40516079|100.46327128|3083
Pulau Pinang|11500|5.404162|100.279923|11600|5.387552|100.312521|755
Pulau Pinang|11500|5.404162|100.279923|11700|5.36817396|100.30980267|788
Pulau Pinang|11500|5.404162|100.279923|11800|5.35679|100.303815|1110
Pulau Pinang|11500|5.404162|100.279923|11900|5.294219|100.257734|1469
Pulau Pinang|11500|5.404162|100.279923|11960|5.28536|100.286315|1326
Pulau Pinang|11500|5.404162|100.279923|12000|5.392116|100.369817|1679
Pulau Pinang|11500|5.404162|100.279923|13100|5.523633|100.381103|2645
Pulau Pinang|11500|5.404162|100.279923|13200|5.21804085707791|100.495090233852|2769
Pulau Pinang|11500|5.404162|100.279923|13300|5.481544|100.494445|2681
Pulau Pinang|11500|5.404162|100.279923|13500|5.411136|100.413304|1712
Pulau Pinang|11500|5.404162|100.279923|13600|5.387076|100.383659|1657
Pulau Pinang|11500|5.404162|100.279923|14000|5.365022|100.459264|1997
Pulau Pinang|11500|5.404162|100.279923|14100|5.283955|100.476943|2295
Pulau Pinang|11500|5.404162|100.279923|14200|5.215871|100.497033|2796
Pulau Pinang|11500|5.404162|100.279923|14300|5.167157|100.475425|2790
Pulau Pinang|11500|5.404162|100.279923|14400|5.40516079|100.46327128|2052
Pulau Pinang|11600|5.387552|100.312521|11700|5.36817396|100.30980267|285
Pulau Pinang|11600|5.387552|100.312521|11800|5.35679|100.303815|607
Pulau Pinang|11600|5.387552|100.312521|11900|5.294219|100.257734|1110
Pulau Pinang|11600|5.387552|100.312521|11960|5.28536|100.286315|854
Pulau Pinang|11600|5.387552|100.312521|12000|5.392116|100.369817|1274
Pulau Pinang|11600|5.387552|100.312521|13100|5.523633|100.381103|2240
Pulau Pinang|11600|5.387552|100.312521|13200|5.21804085707791|100.495090233852|2364
Pulau Pinang|11600|5.387552|100.312521|13300|5.481544|100.494445|2276
Pulau Pinang|11600|5.387552|100.312521|13500|5.411136|100.413304|1307
Pulau Pinang|11600|5.387552|100.312521|13600|5.387076|100.383659|1252
Pulau Pinang|11600|5.387552|100.312521|14000|5.365022|100.459264|1592
Pulau Pinang|11600|5.387552|100.312521|14100|5.283955|100.476943|1890
