ppv_region|master_postcode_1|lat_1|lon_1|master_postcode_2|lat_2|lon_2|time_sec
Sabah|88000|5.982556|116.074506|88700|5.938616|116.10244|1007
Sabah|88000|5.982556|116.074506|88721|5.88891944|116.050816|1121
Sabah|88000|5.982556|116.074506|88856|5.990206|116.106337|675
Sabah|88000|5.982556|116.074506|88857|5.993475|116.132258|982
Sabah|88000|5.982556|116.074506|88858|5.953219|116.055026|636
Sabah|88000|5.982556|116.074506|89000|5.336205|116.154833|7125
Sabah|88000|5.982556|116.074506|89050|6.881501|116.847332|11098
Sabah|88000|5.982556|116.074506|89100|6.495586|116.771333|7949
Sabah|88000|5.982556|116.074506|89150|6.353314|116.431031|4913
Sabah|88000|5.982556|116.074506|89200|6.176863|116.232638|2779
Sabah|88000|5.982556|116.074506|89250|6.136001|116.268277|2829
Sabah|88000|5.982556|116.074506|89260|6.258711|116.337385|3709
Sabah|88000|5.982556|116.074506|89300|5.95471|116.666434|8038
Sabah|88000|5.982556|116.074506|89500|5.914242|116.108057|1278
Sabah|88000|5.982556|116.074506|89600|5.733533|115.929598|3022
Sabah|88000|5.982556|116.074506|89650|5.669726|116.365672|6278
Sabah|88000|5.982556|116.074506|89700|5.52718611|115.857611|4508
Sabah|88000|5.982556|116.074506|89720|5.473546|115.799783|4987
Sabah|88000|5.982556|116.074506|89740|5.571109|115.597807|6637
Sabah|88000|5.982556|116.074506|89760|5.302835|115.369776|8770
Sabah|88000|5.982556|116.074506|89800|5.345028|115.745093|6184
Sabah|88000|5.982556|116.074506|89850|5.078197|115.550197|8754
Sabah|88000|5.982556|116.074506|89900|5.124508|115.942916|9124
Sabah|88000|5.982556|116.074506|89950|5.10735833|116.422119|10756
Sabah|88000|5.982556|116.074506|90000|5.837354|118.110098|21664
Sabah|88000|5.982556|116.074506|90100|5.72086944|117.438526|16620
Sabah|88000|5.982556|116.074506|90200|5.579677|117.841979|19750
Sabah|88000|5.982556|116.074506|91000|4.243113|117.893335|27236
Sabah|88000|5.982556|116.074506|91100|5.024247|118.330774|24986
Sabah|88000|5.982556|116.074506|91200|4.685334|118.248966|28935
Sabah|88000|5.982556|116.074506|91300|4.479277|118.611672|32113
Sabah|88700|5.938616|116.10244|88721|5.88891944|116.050816|1235
Sabah|88700|5.938616|116.10244|88856|5.990206|116.106337|988
Sabah|88700|5.938616|116.10244|88857|5.993475|116.132258|1046
Sabah|88700|5.938616|116.10244|88858|5.953219|116.055026|1000
Sabah|88700|5.938616|116.10244|89000|5.336205|116.154833|6981
Sabah|88700|5.938616|116.10244|89050|6.881501|116.847332|11113
Sabah|88700|5.938616|116.10244|89100|6.495586|116.771333|7963
Sabah|88700|5.938616|116.10244|89150|6.353314|116.431031|4927
Sabah|88700|5.938616|116.10244|89200|6.176863|116.232638|2793
Sabah|88700|5.938616|116.10244|89250|6.136001|116.268277|2843
Sabah|88700|5.938616|116.10244|89260|6.258711|116.337385|3723
Sabah|88700|5.938616|116.10244|89300|5.95471|116.666434|8052
Sabah|88700|5.938616|116.10244|89500|5.914242|116.108057|712
Sabah|88700|5.938616|116.10244|89600|5.733533|115.929598|3001
Sabah|88700|5.938616|116.10244|89650|5.669726|116.365672|5715
Sabah|88700|5.938616|116.10244|89700|5.52718611|115.857611|4365
Sabah|88700|5.938616|116.10244|89720|5.473546|115.799783|4844
Sabah|88700|5.938616|116.10244|89740|5.571109|115.597807|6494
Sabah|88700|5.938616|116.10244|89760|5.302835|115.369776|8627
Sabah|88700|5.938616|116.10244|89800|5.345028|115.745093|6041
Sabah|88700|5.938616|116.10244|89850|5.078197|115.550197|8610
Sabah|88700|5.938616|116.10244|89900|5.124508|115.942916|8981
Sabah|88700|5.938616|116.10244|89950|5.10735833|116.422119|10612
Sabah|88700|5.938616|116.10244|90000|5.837354|118.110098|21678
Sabah|88700|5.938616|116.10244|90100|5.72086944|117.438526|16635
Sabah|88700|5.938616|116.10244|90200|5.579677|117.841979|19765
Sabah|88700|5.938616|116.10244|91000|4.243113|117.893335|27093
Sabah|88700|5.938616|116.10244|91100|5.024247|118.330774|25001
Sabah|88700|5.938616|116.10244|91200|4.685334|118.248966|28949
Sabah|88700|5.938616|116.10244|91300|4.479277|118.611672|32127
Sabah|88721|5.88891944|116.050816|88856|5.990206|116.106337|1455
Sabah|88721|5.88891944|116.050816|88857|5.993475|116.132258|1600
Sabah|88721|5.88891944|116.050816|88858|5.953219|116.055026|836
Sabah|88721|5.88891944|116.050816|89000|5.336205|116.154833|6353
Sabah|88721|5.88891944|116.050816|89050|6.881501|116.847332|11670
Sabah|88721|5.88891944|116.050816|89100|6.495586|116.771333|8520
Sabah|88721|5.88891944|116.050816|89150|6.353314|116.431031|5484
Sabah|88721|5.88891944|116.050816|89200|6.176863|116.232638|3351
Sabah|88721|5.88891944|116.050816|89250|6.136001|116.268277|3400
Sabah|88721|5.88891944|116.050816|89260|6.258711|116.337385|4280
Sabah|88721|5.88891944|116.050816|89300|5.95471|116.666434|8609
Sabah|88721|5.88891944|116.050816|89500|5.914242|116.108057|998
Sabah|88721|5.88891944|116.050816|89600|5.733533|115.929598|2251
Sabah|88721|5.88891944|116.050816|89650|5.669726|116.365672|5997
Sabah|88721|5.88891944|116.050816|89700|5.52718611|115.857611|3737
Sabah|88721|5.88891944|116.050816|89720|5.473546|115.799783|4216
Sabah|88721|5.88891944|116.050816|89740|5.571109|115.597807|5866
Sabah|88721|5.88891944|116.050816|89760|5.302835|115.369776|7999
Sabah|88721|5.88891944|116.050816|89800|5.345028|115.745093|5413
Sabah|88721|5.88891944|116.050816|89850|5.078197|115.550197|7982
Sabah|88721|5.88891944|116.050816|89900|5.124508|115.942916|8352
Sabah|88721|5.88891944|116.050816|89950|5.10735833|116.422119|9984
Sabah|88721|5.88891944|116.050816|90000|5.837354|118.110098|22235
Sabah|88721|5.88891944|116.050816|90100|5.72086944|117.438526|17192
Sabah|88721|5.88891944|116.050816|90200|5.579677|117.841979|20322
Sabah|88721|5.88891944|116.050816|91000|4.243113|117.893335|26465
Sabah|88721|5.88891944|116.050816|91100|5.024247|118.330774|25558
Sabah|88721|5.88891944|116.050816|91200|4.685334|118.248966|29506
Sabah|88721|5.88891944|116.050816|91300|4.479277|118.611672|31977
Sabah|88856|5.990206|116.106337|88857|5.993475|116.132258|437
Sabah|88856|5.990206|116.106337|88858|5.953219|116.055026|809
Sabah|88856|5.990206|116.106337|89000|5.336205|116.154833|7337
Sabah|88856|5.990206|116.106337|89050|6.881501|116.847332|10553
Sabah|88856|5.990206|116.106337|89100|6.495586|116.771333|7403
Sabah|88856|5.990206|116.106337|89150|6.353314|116.431031|4368
Sabah|88856|5.990206|116.106337|89200|6.176863|116.232638|2234
Sabah|88856|5.990206|116.106337|89250|6.136001|116.268277|2284
Sabah|88856|5.990206|116.106337|89260|6.258711|116.337385|3164
Sabah|88856|5.990206|116.106337|89300|5.95471|116.666434|7492
Sabah|88856|5.990206|116.106337|89500|5.914242|116.108057|1302
Sabah|88856|5.990206|116.106337|89600|5.733533|115.929598|3235
Sabah|88856|5.990206|116.106337|89650|5.669726|116.365672|6103
Sabah|88856|5.990206|116.106337|89700|5.52718611|115.857611|4721
Sabah|88856|5.990206|116.106337|89720|5.473546|115.799783|5200
Sabah|88856|5.990206|116.106337|89740|5.571109|115.597807|6849
Sabah|88856|5.990206|116.106337|89760|5.302835|115.369776|8983
Sabah|88856|5.990206|116.106337|89800|5.345028|115.745093|6397
Sabah|88856|5.990206|116.106337|89850|5.078197|115.550197|8966
Sabah|88856|5.990206|116.106337|89900|5.124508|115.942916|9336
Sabah|88856|5.990206|116.106337|89950|5.10735833|116.422119|10968
Sabah|88856|5.990206|116.106337|90000|5.837354|118.110098|21118
Sabah|88856|5.990206|116.106337|90100|5.72086944|117.438526|16075
Sabah|88856|5.990206|116.106337|90200|5.579677|117.841979|19205
Sabah|88856|5.990206|116.106337|91000|4.243113|117.893335|27449
Sabah|88856|5.990206|116.106337|91100|5.024247|118.330774|24441
Sabah|88856|5.990206|116.106337|91200|4.685334|118.248966|28389
Sabah|88856|5.990206|116.106337|91300|4.479277|118.611672|31568
Sabah|88857|5.993475|116.132258|88858|5.953219|116.055026|1212
Sabah|88857|5.993475|116.132258|89000|5.336205|116.154833|7510
Sabah|88857|5.993475|116.132258|89050|6.881501|116.847332|10470
Sabah|88857|5.993475|116.132258|89100|6.495586|116.771333|7320
Sabah|88857|5.993475|116.132258|89150|6.353314|116.431031|4284
Sabah|88857|5.993475|116.132258|89200|6.176863|116.232638|2151
Sabah|88857|5.993475|116.132258|89250|6.136001|116.268277|2200
Sabah|88857|5.993475|116.132258|89260|6.258711|116.337385|3080
Sabah|88857|5.993475|116.132258|89300|5.95471|116.666434|7409
Sabah|88857|5.993475|116.132258|89500|5.914242|116.108057|1174
Sabah|88857|5.993475|116.132258|89600|5.733533|115.929598|3408
Sabah|88857|5.993475|116.132258|89650|5.669726|116.365672|5976
Sabah|88857|5.993475|116.132258|89700|5.52718611|115.857611|4894
Sabah|88857|5.993475|116.132258|89720|5.473546|115.799783|5373
Sabah|88857|5.993475|116.132258|89740|5.571109|115.597807|7023
Sabah|88857|5.993475|116.132258|89760|5.302835|115.369776|9156
Sabah|88857|5.993475|116.132258|89800|5.345028|115.745093|6570
Sabah|88857|5.993475|116.132258|89850|5.078197|115.550197|9139
Sabah|88857|5.993475|116.132258|89900|5.124508|115.942916|9510
Sabah|88857|5.993475|116.132258|89950|5.10735833|116.422119|11141
Sabah|88857|5.993475|116.132258|90000|5.837354|118.110098|21035
Sabah|88857|5.993475|116.132258|90100|5.72086944|117.438526|15992
Sabah|88857|5.993475|116.132258|90200|5.579677|117.841979|19122
Sabah|88857|5.993475|116.132258|91000|4.243113|117.893335|27622
Sabah|88857|5.993475|116.132258|91100|5.024247|118.330774|24358
Sabah|88857|5.993475|116.132258|91200|4.685334|118.248966|28306
Sabah|88857|5.993475|116.132258|91300|4.479277|118.611672|31485
Sabah|88858|5.953219|116.055026|89000|5.336205|116.154833|7077
Sabah|88858|5.953219|116.055026|89050|6.881501|116.847332|11576
Sabah|88858|5.953219|116.055026|89100|6.495586|116.771333|8426
Sabah|88858|5.953219|116.055026|89150|6.353314|116.431031|5390
Sabah|88858|5.953219|116.055026|89200|6.176863|116.232638|3256
