state|postcode|master_postcode
Johor|79000|79000
Johor|79050|79000
Johor|79100|79000
Johor|79150|79000
Johor|79200|79000
Johor|79250|79000
Johor|79502|79000
Johor|79503|79000
Johor|79504|79000
Johor|79511|79000
Johor|79513|79000
Johor|79514|79000
Johor|79517|79000
Johor|79518|79000
Johor|79520|79000
Johor|79521|79000
Johor|79523|79000
Johor|79532|79000
Johor|79538|79000
Johor|79540|79000
Johor|79546|79000
Johor|79548|79000
Johor|79550|79000
Johor|79555|79000
Johor|79570|79000
Johor|79575|79000
Johor|79576|79000
Johor|79582|79000
Johor|79592|79000
Johor|79601|79000
Johor|79603|79000
Johor|79605|79000
Johor|79606|79000
Johor|79612|79000
Johor|79626|79000
Johor|79630|79000
Johor|79632|79000
Johor|79646|79000
Johor|79658|79000
Johor|79660|79000
Johor|79680|79000
Johor|79681|79000
Johor|79683|79000
Johor|80000|80000
Johor|80050|80000
Johor|80057|80000
Johor|80100|80000
Johor|80150|80000
Johor|80200|80000
Johor|80250|80000
Johor|80300|80000
Johor|80350|80000
Johor|80357|80000
Johor|80359|80000
Johor|80400|80000
Johor|80500|80000
Johor|80505|80000
Johor|80506|80000
Johor|80508|80000
Johor|80514|80000
Johor|80516|80000
Johor|80519|80000
Johor|80534|80000
Johor|80536|80000
Johor|80538|80000
Johor|80542|80000
Johor|80544|80000
Johor|80546|80000
Johor|80554|80000
Johor|80558|80000
Johor|80560|80000
Johor|80564|80000
Johor|80568|80000
Johor|80578|80000
Johor|80586|80000
Johor|80590|80000
Johor|80592|80000
Johor|80594|80000
Johor|80596|80000
Johor|80598|80000
Johor|80600|80000
Johor|80604|80000
Johor|80608|80000
Johor|80620|80000
Johor|80622|80000
Johor|80628|80000
Johor|80644|80000
Johor|80648|80000
Johor|80662|80000
Johor|80664|80000
Johor|80670|80000
Johor|80672|80000
Johor|80673|80000
Johor|80676|80000
Johor|80690|80000
Johor|80700|80000
Johor|80710|80000
Johor|80720|80000
Johor|80730|80000
Johor|80900|80000
Johor|80902|80000
Johor|80904|80000
Johor|80906|80000
Johor|80908|80000
Johor|80988|80000
Johor|80990|80000
Johor|81000|81000
Johor|81007|81000
Johor|81009|81000
Johor|81100|80000
Johor|81107|80000
Johor|81200|80000
Johor|81300|81300
Johor|81307|80000
Johor|81310|80000
Johor|81400|81400
Johor|81407|81400
Johor|81409|81400
Johor|81440|81440
Johor|81447|81440
Johor|81450|81450
Johor|81500|81500
Johor|81507|81500
Johor|81550|81550
Johor|81551|80000
Johor|81552|80000
Johor|81556|80000
Johor|81557|81550
Johor|81600|81600
Johor|81700|81700
Johor|81707|81700
Johor|81750|81750
Johor|81757|81750
Johor|81759|81750
Johor|81800|81800
Johor|81807|81800
Johor|81809|81800
Johor|81850|81850
Johor|81900|81900
Johor|81907|81900
Johor|81920|81920
Johor|81927|81920
Johor|81930|81930
Johor|81937|81930
Johor|82000|82000
Johor|82007|82000
Johor|82009|82000
Johor|82100|82100
Johor|82200|82200
Johor|82207|82200
Johor|82300|82300
Johor|83000|83000
Johor|83007|83000
Johor|83009|83000
Johor|83010|83000
Johor|83100|83100
Johor|83200|83200
Johor|83300|83300
Johor|83307|83300
Johor|83400|83400
Johor|83407|83400
Johor|83500|83500
Johor|83600|83600
Johor|83700|83700
Johor|83707|83700
Johor|84000|84000
Johor|84007|84000
Johor|84150|84150
Johor|84157|84150
Johor|84200|84000
Johor|84300|84300
Johor|84400|84400
Johor|84407|84400
Johor|84500|84500
Johor|84600|84600
Johor|84700|84700
Johor|84800|84800
Johor|84900|84900
Johor|84907|84900
Johor|84909|84900
Johor|85000|85000
Johor|85007|85000
Johor|85100|85100
Johor|85109|85100
Johor|85200|85200
Johor|85300|85300
Johor|85307|85300
Johor|85309|85300
Johor|85400|85400
Johor|86000|86000
Johor|86007|86000
Johor|86009|86000
Johor|86100|86100
Johor|86107|86100
Johor|86200|86200
Johor|86207|86200
Johor|86300|86300
Johor|86400|86400
Johor|86407|86400
Johor|86500|86500
Johor|86600|86600
Johor|86700|86700
Johor|86707|86700
Johor|86800|86800
Johor|86807|86800
Johor|86810|86800
Johor|86888|86800
Johor|86900|86900
Kedah|05000|05000
Kedah|05050|05000
Kedah|05100|05000
Kedah|05150|05000
Kedah|05200|05000
Kedah|05250|05000
Kedah|05300|05000
Kedah|05350|05000
Kedah|05400|05000
Kedah|05460|05000
Kedah|05500|05000
Kedah|05502|05000
Kedah|05503|05000
Kedah|05504|05000
Kedah|05505|05000
Kedah|05506|05000
Kedah|05508|05000
Kedah|05512|05000
Kedah|05514|05000
Kedah|05516|05000
Kedah|05517|05000
Kedah|05518|05000
Kedah|05520|05000
Kedah|05532|05000
Kedah|05534|05000
Kedah|05536|05000
Kedah|05538|05000
Kedah|05550|05000
Kedah|05551|05000
Kedah|05552|05000
Kedah|05556|05000
Kedah|05558|05000
Kedah|05560|05000
Kedah|05564|05000
Kedah|05576|05000
Kedah|05578|05000
Kedah|05580|05000
Kedah|05582|05000
Kedah|05586|05000
Kedah|05590|05000
Kedah|05592|05000
Kedah|05594|05000
Kedah|05600|05000
Kedah|05604|05000
Kedah|05610|05000
Kedah|05612|05000
Kedah|05614|05000
Kedah|05620|05000
Kedah|05621|05000
Kedah|05622|05000
Kedah|05626|05000
Kedah|05628|05000
Kedah|05630|05000
Kedah|05632|05000
Kedah|05644|05000
