,postcode,state,state_gj,lat_lon
117,47810,Selangor,WP Kuala Lumpur,"(3.0749915, 101.6719175)"
237,46000,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
195,46050,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
198,46100,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
61,46200,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
878,46300,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
1609,46350,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
575,46400,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
1976,46506,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
1977,46547,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
1978,46549,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
1979,46551,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
1980,46564,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
1981,46582,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
1982,46598,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
1983,46662,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
1984,46667,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
1985,46668,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
1986,46672,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
1987,46675,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
1988,46700,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
1989,46710,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
1990,46720,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
1991,46730,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
1992,46740,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
1993,46750,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
1994,46760,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
1995,46770,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
1996,46780,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
1997,46781,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
1998,46782,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
1999,46783,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
2000,46784,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
2001,46785,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
2002,46786,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
2100,46787,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
2101,46788,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
2102,46789,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
2103,46790,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
2104,46791,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
2105,46792,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
2106,46793,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
2107,46794,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
2108,46795,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
2109,46796,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
2110,46797,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
2111,46798,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
2112,46799,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
2113,46800,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
2074,46801,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
2075,46802,Selangor,WP Kuala Lumpur,"(3.086439, 101.649091)"
